GP_Type,Country,Practice_Type,Gender,Age,'\'Sample Count\'','\'Average Tot Expenses\'',EER,'\'Average Total Expenses\'','\'Average Office and General Business\'','\'Average Employee\'','\'Average Interest\'','\'Average Other\'','Average Net Capital Allowances\'','\'\%Zero Employee\'','\'\%Zero Car and Travel\'','\'Median Income Before Tax\''
Salaried,'\'Northern Ireland\'',Non-dispensing,Female,<40,-0.483543,-1.464839,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,'\'Northern Ireland\'',Non-dispensing,Female,<40,-0.447643,-1.448088,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,'\'Northern Ireland\'',Non-dispensing,Female,<40,-0.447643,-1.449611,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,'\'Northern Ireland\'',Non-dispensing,Female,>=40<50,-0.483543,-1.460271,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,'\'Northern Ireland\'',Non-dispensing,Female,>=50<60,-0.483543,-1.457225,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,'\'Northern Ireland\'',Non-dispensing,Male,<40,-0.483543,-1.441997,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,'\'Northern Ireland\'',Non-dispensing,Male,<40,-0.483543,-1.442758,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,'\'Northern Ireland\'',Non-dispensing,Female,<40,-0.447643,-1.454179,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,'\'Northern Ireland\'',Non-dispensing,Female,<40,-0.483543,-1.451134,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,'\'Northern Ireland\'',Non-dispensing,Female,>=40<50,-0.483543,-1.464839,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,'\'Northern Ireland\'',Non-dispensing,Female,>=50<60,-0.483543,-1.457987,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,2.603859,-1.423722,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,-0.304043,-1.422961,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,0.449857,-1.424484,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,0.413957,-1.408494,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,-0.052743,-1.441235,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,-0.016843,-1.434382,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,-0.124543,-1.410778,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,-0.124543,-1.439712,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,0.198557,-1.418392,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,-0.232243,-1.425245,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,-0.160443,-1.426007,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,0.126757,-1.425245,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,-0.196343,-1.426768,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,0.090857,-1.411539,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,1.993558,-1.426768,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,0.772958,-1.415347,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,>=40<50,0.557557,-1.413824,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,>=50<60,0.054957,-1.461032,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,>=60,-0.339943,-1.457987,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Male,<40,0.449857,-1.390981,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Male,<40,-0.088643,-1.370422,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Male,>=40<50,-0.268143,-1.384889,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Male,>=50<60,-0.339943,-1.432098,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Male,>=60,-0.411743,-1.439712,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,1.634558,-1.436667,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,0.342157,-1.432859,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,>=40<50,0.306257,-1.422199,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,>=50<60,-0.124543,-1.473215,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,>=60,-0.447643,-1.482352,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Wales,Non-dispensing,Female,<40,-0.339943,-1.466362,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Wales,Non-dispensing,Female,<40,-0.483543,-1.485398,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Wales,Non-dispensing,Female,<40,-0.411743,-1.461794,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Wales,Non-dispensing,Female,<40,-0.483543,-1.479306,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Wales,Non-dispensing,Female,<40,-0.483543,-1.450372,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Wales,Non-dispensing,Female,<40,-0.483543,-1.453418,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Wales,Non-dispensing,Female,<40,-0.375843,-1.470931,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Wales,Non-dispensing,Female,<40,-0.447643,-1.463316,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Wales,Non-dispensing,Female,>=40<50,-0.447643,-1.467124,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Wales,Non-dispensing,Female,>=50<60,-0.483543,-1.468646,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Wales,Non-dispensing,Female,>=60,-0.483543,-1.483114,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Wales,Non-dispensing,Male,<40,-0.483543,-1.465601,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Wales,Non-dispensing,Male,<40,-0.483543,-1.454179,0,-0,0,0,-0,0,0,-0,0,'\'(95125-145050]\''
Salaried,Wales,Non-dispensing,Male,>=40<50,-0.483543,-1.470931,0,-0,0,0,-0,0,0,-0,0,'\'(95125-145050]\''
Salaried,Wales,Non-dispensing,Male,>=50<60,-0.483543,-1.483875,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Wales,Non-dispensing,Female,<40,-0.375843,-1.466362,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Wales,Non-dispensing,Female,<40,-0.483543,-1.466362,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Wales,Non-dispensing,Female,>=40<50,-0.483543,-1.467124,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Wales,Non-dispensing,Female,>=50<60,-0.483543,-1.462555,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Scotland,Non-dispensing,Female,<40,-0.304043,-1.457987,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Scotland,Non-dispensing,Female,<40,-0.483543,-1.454941,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Scotland,Non-dispensing,Female,<40,-0.411743,-1.459509,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Scotland,Non-dispensing,Female,<40,-0.483543,-1.443519,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Scotland,Non-dispensing,Female,<40,-0.483543,-1.474738,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Scotland,Non-dispensing,Female,<40,-0.483543,-1.485398,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Scotland,Non-dispensing,Female,<40,-0.411743,-1.458748,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Scotland,Non-dispensing,Female,<40,-0.411743,-1.457225,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Scotland,Non-dispensing,Female,<40,-0.411743,-1.461032,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Scotland,Non-dispensing,Female,>=40<50,-0.447643,-1.448849,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Scotland,Non-dispensing,Female,>=50<60,-0.483543,-1.454941,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Scotland,Non-dispensing,Female,>=60,-0.483543,-1.487682,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Scotland,Non-dispensing,Male,<40,-0.447643,-1.424484,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Scotland,Non-dispensing,Male,<40,-0.483543,-1.456464,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Scotland,Non-dispensing,Male,>=40<50,-0.483543,-1.381082,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Scotland,Non-dispensing,Male,>=50<60,-0.483543,0,0,-0,0,0,-0,0,0,-0,0,'\'(95125-145050]\''
Salaried,Scotland,Non-dispensing,Female,<40,-0.339943,-1.467885,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Scotland,Non-dispensing,Female,<40,-0.411743,-1.461794,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Scotland,Non-dispensing,Female,>=40<50,-0.483543,-1.477784,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Scotland,Non-dispensing,Female,>=50<60,-0.483543,-1.476261,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,'\'Northern Ireland\'',Non-dispensing,Female,<40,-0.447643,-1.451895,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,'\'Northern Ireland\'',Non-dispensing,Female,<40,-0.483543,-1.463316,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,'\'Northern Ireland\'',Non-dispensing,Female,<40,-0.483543,-1.444281,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,'\'Northern Ireland\'',Non-dispensing,Female,<40,-0.483543,-1.461032,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,'\'Northern Ireland\'',Non-dispensing,Female,<40,-0.483543,-1.464839,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,'\'Northern Ireland\'',Non-dispensing,Female,<40,-0.447643,-1.448088,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,'\'Northern Ireland\'',Non-dispensing,Female,<40,-0.447643,-1.449611,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,'\'Northern Ireland\'',Non-dispensing,Female,>=40<50,-0.483543,-1.460271,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,'\'Northern Ireland\'',Non-dispensing,Female,>=50<60,-0.483543,-1.457225,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,'\'Northern Ireland\'',Non-dispensing,Male,<40,-0.483543,-1.441997,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,'\'Northern Ireland\'',Non-dispensing,Male,<40,-0.483543,-1.442758,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,'\'Northern Ireland\'',Non-dispensing,Female,<40,-0.447643,-1.454179,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,'\'Northern Ireland\'',Non-dispensing,Female,<40,-0.483543,-1.451134,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,'\'Northern Ireland\'',Non-dispensing,Female,>=40<50,-0.483543,-1.464839,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,'\'Northern Ireland\'',Non-dispensing,Female,>=50<60,-0.483543,-1.457987,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,0.952458,-1.414585,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,-0.411743,-1.464839,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,-0.124543,-1.436667,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,-0.052743,-1.400879,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,-0.268143,-1.413824,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,-0.268143,-1.386412,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,-0.447643,-1.413062,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,0.054957,-1.412301,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,-0.447643,-1.426007,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,-0.232243,-1.384128,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,-0.339943,-1.448849,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,-0.447643,-1.467124,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,-0.268143,-1.415347,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,-0.375843,-1.396311,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,0.844758,-1.416108,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,<40,0.090857,-1.410017,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,>=40<50,-0.016843,-1.411539,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,>=50<60,-0.232243,-1.435905,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Female,>=60,-0.411743,-1.403925,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Male,<40,-0.088643,-1.355955,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,England,Non-dispensing,Male,<40,-0.339943,-1.326259,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
